RANK,NAME,ROUND 1,ROUND 2,ROUND 3,ROUND 4,ROUND 5,ROUND 6,ROUND 7,ROUND 8,ROUND 9,ROUND 10,ROUND 11,ROUND 12,ROUND 13,ROUND 14,ROUND 15,ROUND 16,ROUND 17,ROUND 18,ROUND 19,ROUND 20,ROUND 21,ROUND 22,ROUND 23,ROUND 24,ROUND 25,ROUND 26,ROUND 27,QUALIFYING FINALS,SEMI FINALS,PRELIMINARY FINALS,GRAND FINAL,GRAND FINAL MARGIN,TOTAL SCORE,TOTAL MARGIN
1,Krob,6,4,7,3,3,7,3,5,4,4,4,1,4,7,3,4,8,4,6,5,5,5,7,7,4,6,6,2,1,1,1,2,137,360
2,ESPNFAN1904672170,6,4,6,2,4,5,4,5,2,3,4,1,7,6,4,4,7,3,6,8,5,5,5,5,5,7,7,3,2,1,0,12,136,417
3,Jordan,6,4,6,5,3,5,5,5,4,5,5,2,6,6,4,5,6,2,6,5,6,6,6,4,3,6,6,2,1,1,0,8,136,419
4,Henry,6,4,6,2,4,4,5,5,4,5,5,0,6,6,4,5,7,3,6,6,6,5,6,4,3,6,5,4,2,2,0,36,136,467
5,Salesy,5,3,7,5,5,5,4,6,4,3,4,0,5,7,3,3,7,4,6,5,5,4,5,7,6,6,6,2,1,1,1,6,135,463
6,Payne in my Haas,7,4,7,2,5,3,3,4,4,2,4,0,5,6,3,5,8,3,7,7,6,4,5,5,5,5,5,2,1,1,1,2,129,465
7,ElDandy1776,5,4,7,2,4,4,4,5,4,3,4,0,6,6,4,5,7,3,6,7,6,5,5,4,3,6,4,2,1,1,1,0,128,415
8,Peter,6,4,6,2,5,4,3,5,4,4,3,0,4,6,4,4,7,4,6,6,4,6,4,6,4,5,5,3,1,2,1,3,128,431
9,Ben Woodrow,5,4,6,4,4,2,5,5,4,5,5,2,5,5,4,3,6,3,7,6,5,6,5,4,3,5,6,3,0,0,0,4,127,429
10,Wilko,4,6,6,3,4,5,4,4,2,4,3,1,5,5,4,3,5,3,6,6,6,6,5,3,5,7,6,3,2,0,0,16,126,413
11,Mickjones2099,5,3,7,3,4,4,5,5,4,3,4,2,4,5,3,4,8,3,7,6,3,5,5,4,2,6,6,3,1,1,0,4,125,369
12,MrBeuJangles,5,3,6,2,3,2,3,4,2,3,6,1,6,6,4,4,7,3,6,6,6,5,5,4,4,7,6,3,1,1,1,3,125,423
13,Professionhill,6,4,5,2,3,4,4,4,4,3,2,0,6,6,4,4,7,3,7,7,6,4,5,4,4,6,5,2,1,1,1,2,124,443
14,Tom P,6,5,4,3,5,4,4,3,6,5,4,2,3,6,1,6,7,3,6,4,6,4,3,5,5,6,4,1,1,1,1,2,124,494
15,sammohalp,6,4,8,2,3,3,4,5,4,5,5,0,3,6,2,4,6,3,6,6,6,4,5,4,4,6,4,2,0,2,1,0,123,513
16,KMART484 ,6,4,7,3,4,5,3,3,3,6,2,0,3,7,4,3,6,3,6,6,5,6,6,4,3,5,4,2,1,1,1,2,122,415
17,Fin,5,3,6,4,4,4,6,5,4,5,4,1,4,4,3,5,6,3,5,3,5,4,3,5,5,3,6,2,2,1,0,4,120,478
18,CameronMac20,7,4,5,3,5,6,3,5,5,3,2,0,6,5,3,4,2,3,5,6,5,6,6,1,5,6,5,1,1,0,1,3,119,411
19,James,4,4,2,4,3,4,5,5,2,3,3,1,4,6,3,4,4,4,5,4,6,5,4,5,4,7,6,2,0,1,1,0,115,434
20,Owen Edwards,4,4,2,2,4,4,5,8,3,4,4,2,5,5,4,4,6,4,6,6,6,6,4,1,5,4,2,0,0,0,0,4,114,405
21,Lindell Ngaluafe,5,3,6,3,4,5,4,3,2,5,2,2,3,5,1,4,5,4,4,7,5,3,4,4,3,6,4,3,0,1,1,0,111,389
22,TommyTurbo47,5,3,6,3,6,3,4,5,3,4,5,0,3,6,3,4,7,3,5,2,5,4,5,1,4,4,2,0,0,0,0,4,105,443
23,James,6,4,6,4,5,3,5,1,3,5,5,3,3,2,3,4,2,3,5,2,4,4,3,1,4,4,2,0,0,0,0,4,96,411

