Model,Acc_A,Acc_B,Acc_Δ,LL_A,LL_B,LL_Δ,Brier_A,Brier_B,Brier_Δ
WF-OptBlend WF-All9+Odds,0.6899914746906906,0.692783063427161,0.0027915887364704517,0.6045027368368869,0.5968230317834096,-0.00767970505347737,0.20453835624857072,0.20455629141884224,1.793517027151581e-05
WF-OptBlend WF-Best5+Odds,0.689703195426975,0.6916091039845988,0.0019059085576238477,0.6018683958541327,0.5957027293298887,-0.006165666524243996,0.20356035554366603,0.20401894489967345,0.00045858935600742723
Stacking (MLP-All9+Odds -> MLP),0.6468930859728206,0.6645999750168328,0.017706889044012186,0.6207090623123681,0.6155518352916418,-0.005157227020726296,0.21584244217776158,0.21341684255638743,-0.002425599621374147
XGBoost,0.6807838818463863,0.679507084138725,-0.0012767977076613146,0.6007110270203523,0.5993421371901705,-0.0013688898301817964,0.2066050712019205,0.20597731322050095,-0.0006277579814195633
LGB_top50,0.6850323030385861,0.6830322733535443,-0.00200002968504176,0.5966689700644309,0.5953128774113997,-0.0013560926530311601,0.20499829808801195,0.2044449715056919,-0.0005533265823200462
LightGBM,0.6870399398743102,0.6834161469253973,-0.0036237929489129073,0.5973957433326463,0.5966470774930838,-0.0007486658395625678,0.20541980962876166,0.20501912051446247,-0.00040068911429919085
Raw-Blend LGB_top50 (w=0.495),0.687385409091217,0.6865528641776505,-0.0008325449135665464,0.5956147705006678,0.5948841456757143,-0.0007306248249534519,0.20467350446073873,0.2043683389380736,-0.00030516552266512953
Raw-Blend XGBoost (w=0.495),0.685545730912253,0.6877470250799071,0.002201294167654133,0.5985078028767103,0.597884353392126,-0.0006234494845843708,0.20579933821435803,0.20552459906293527,-0.0002747391514227593
Cal-Blend XGB_top50 (w=0.495),0.6923790612812166,0.6877274153895072,-0.0046516458917094106,0.5944216891804662,0.5938308775076737,-0.0005908116727925128,0.20441928396039938,0.2043613041959702,-5.797976442917241e-05
XGB_top50,0.688768217674477,0.6882914283404054,-0.0004767893340716922,0.5983218040843448,0.5978583621244877,-0.00046344195985703607,0.20541315898299217,0.20522246323525906,-0.00019069574773311615
Raw-Blend XGB_top50 (w=0.495),0.687099485085633,0.6868776866027614,-0.00022179848287162685,0.5974544843908872,0.5971155385477809,-0.0003389458431063419,0.20521077557821776,0.20509843920709675,-0.00011233637112101347
Raw-Blend LightGBM (w=0.495),0.6859919335383116,0.6846590957703915,-0.0013328377679200365,0.5962913893172215,0.5959566093607892,-0.000334779956432274,0.20498488483416424,0.20479488039675534,-0.00019000443740890827
Odds Implied,0.6815682282599957,0.6815682282599957,0.0,0.6012808523428074,0.6012808523428074,0.0,0.2071624808058402,0.2071624808058402,0.0
RandomForest,0.6765128705304592,0.6738686110722899,-0.0026442594581692624,0.6051501062015667,0.6052758399980196,0.00012573379645286487,0.20867099675744538,0.20874136628883871,7.03695313933328e-05
ExtraTrees,0.6759990372306242,0.676472321413632,0.00047328418300784936,0.6083902972711693,0.6086338105094535,0.00024351323828419869,0.2098241610819871,0.20989352503317665,6.936395118956051e-05
Stacking (LR-All9+Odds -> LR),0.6756207753263102,0.6716263085499016,-0.003994466776408578,0.6010641189622798,0.6014283568205286,0.00036423785824879484,0.20691919485747984,0.20702858778781824,0.00010939293033840336
Stacking (MLP-Best5+Odds -> MLP),0.6617190812947252,0.6452909907072544,-0.016428090587470856,0.633454712605074,0.6342193679711181,0.0007646553660440869,0.2212749037047338,0.22198854586138916,0.0007136421566553697
LogReg,0.6404650173529709,0.640405334531001,-5.968282196988639e-05,0.6773642460404479,0.678459306216382,0.0010950601759340817,0.23431486669036633,0.23476934537763577,0.00045447868726944396
Raw-Blend CatBoost (w=0.495),0.6850495574708545,0.6798295513057043,-0.005220006165150171,0.5963374408710465,0.5977188911480854,0.0013814502770389536,0.20502192139659836,0.20578379101986946,0.0007618696232710997
Raw-Blend CAT_top50 (w=0.495),0.6855965838050049,0.6824305425292075,-0.0031660412757973377,0.5938722469502955,0.5955808402784308,0.0017085933281353327,0.20407577547903233,0.2047527892425116,0.0006770137634792839
CatBoost,0.6789243013423911,0.6699192686448383,-0.009005032697552817,0.5969982635554876,0.5996555175110703,0.0026572539555826946,0.20529447308437793,0.2067409174528939,0.0014464443685159867
CAT_top50,0.6763752954912355,0.673896980132819,-0.002478315358416583,0.5939648404115876,0.597243323495748,0.003278483084160455,0.20417704967792766,0.2054543216015576,0.0012772719236299468
